gene,log2FC,pval,is_DEG
catalase A,5.571444799344979,5.406710140064091e-08,True
Sue1p,4.231303283542405,7.705176992325167e-08,True
tubulin-binding prefolding complex subunit GIM3,-1.2204439424228468,1.7641867779707733e-07,True
alcohol dehydrogenase ADH2,7.723890188651755,2.1257303036427712e-07,True
glutamate dehydrogenase (NADP(+)) GDH3,4.089282988999328,2.890303107201053e-07,True
Xbp1p,4.004069204241919,3.3598068157121875e-07,True
Dur3p,2.6321851836669334,3.5956198459007097e-07,True
malate dehydrogenase MDH3,1.8245978317786582,3.5958506164203005e-07,True
Isf1p,4.8751612062750445,5.150008331430001e-07,True
ribosomal 40S subunit protein S17A,-1.265027183510325,5.740160055280501e-07,True
bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2,5.447274908582795,6.704739732215993e-07,True
Gpg1p,5.654907662580682,7.717463983642508e-07,True
Igd1p,4.54691795087054,8.225861373737029e-07,True
acetate--CoA ligase 1,6.97577206854743,9.63702715996417e-07,True
ATP-binding cassette long-chain fatty acid transporter PXA1,4.209652086752126,1.0073868343805507e-06,True
Fmp16p,7.3425927375726605,1.2762913346137447e-06,True
hypothetical protein,-1.6814249345393186,1.3142453913284623e-06,True
glycerol 2-dehydrogenase (NADP(+)) GCY1,3.984241749830601,1.4752995440823972e-06,True
ribosomal 40S subunit protein S18B,-1.445880250481288,1.5060028747794902e-06,True
Pci8p,1.6494929468961517,1.59912031946887e-06,True
Rim4p,3.544898245795587,1.6237613215159924e-06,True
Pet20p,1.8799497267366299,1.6316050171943336e-06,True
ubiquitin-ribosomal 60S subunit protein L40A fusion protein,-1.0264430838204657,1.6371354690607911e-06,True
ribosomal 60S subunit protein L33A,-1.2466971179359074,1.6452430188165856e-06,True
Mec3p,1.3154477547512995,1.7617247290793386e-06,True
putative ammonium permease ATO3,4.969453861973365,1.8143005135333879e-06,True
Pet10p,1.8848863898118111,1.989406713435978e-06,True
ribosomal 40S subunit protein S1B,-1.2849155521670372,1.9968548064979635e-06,True
GDP-mannose transporter,-1.3211584692490819,2.1668533408950624e-06,True
NADPH dehydrogenase,-2.022283760967314,2.4163585733465676e-06,True
hypothetical protein,1.1633298968759167,2.4590213543078413e-06,True
5'-(N(7)-methyl 5'-triphosphoguanosine)-(mRNA) diphosphatase,1.6923216214194943,2.684018770904341e-06,True
Spg1p,8.01927655858885,2.7058603391663365e-06,True
Sfc1p,7.869821590130858,2.980624792042453e-06,True
Aqy3p,2.7321336118131936,3.000004054497916e-06,True
alcohol dehydrogenase ADH1,-2.0579909936035694,3.0328859363840266e-06,True
glyoxylate reductase,3.306151317650401,3.040582775001463e-06,True
ribosomal 60S subunit protein L38,-1.094907447108163,3.0740936422316173e-06,True
alpha-ketoglutarate dehydrogenase KGD2,2.1159153460311098,3.102942179384962e-06,True
ubiquinone biosynthesis protein COQ4,1.7584798098753964,3.1808710964652444e-06,True
ubiquitin-ribosomal 60S subunit protein L40B fusion protein,-1.272315365799777,3.242952548359187e-06,True
ribosomal 40S subunit protein S27A,-1.0755937569914433,3.3244555797033774e-06,True
Atg3p,1.8871685833319862,3.3598846463798187e-06,True
Rgi2p,10.001314828330132,3.42311997871663e-06,True
nucleoporin POM33,1.35678447055367,3.76857803715323e-06,True
ribosomal 60S subunit protein L6B,-1.1793957582969234,3.790658319396869e-06,True
glyoxylate reductase,3.3434194645644393,3.834261480751406e-06,True
Atg39p,5.386599771649392,3.840371001515856e-06,True
Ubx5p,1.093366182559361,3.886395800421601e-06,True
hexose transporter HXT3,-4.114787767680668,4.205344990460623e-06,True
hexadecenal dehydrogenase,2.667332200306886,4.301937294408602e-06,True
ribosomal 40S subunit protein S24B,-1.2474961258012165,4.4806304379143646e-06,True
isocitrate dehydrogenase (NADP(+)) IDP2,5.598617193499269,4.659927087608711e-06,True
putative 2-methylcitrate dehydratase,2.8690575784021144,4.954010446453037e-06,True
medium-chain fatty acid-CoA ligase FAA2,4.450130190214937,5.217988909212021e-06,True
ribosomal 60S subunit protein L14A,-1.3637970133432589,5.506229074435233e-06,True
ribonuclease P/MRP protein subunit POP7,1.3008401552750302,5.887110977137107e-06,True
Asf2p,1.385510262221369,5.979634747950567e-06,True
ribosomal 40S subunit protein S21B,-1.2977294276658409,6.1005717120396305e-06,True
ribosomal 40S subunit protein S24A,-1.1836390913790904,6.206474321677369e-06,True
cytochrome c oxidase subunit IV,1.1604576443179582,6.210485469745355e-06,True
iron-binding protein ISU1,2.192125195230213,6.391833506344688e-06,True
DNA-binding protein SAW1,1.2836165202551575,6.39265904574915e-06,True
S-formylglutathione hydrolase,1.5689760315783117,6.543648933749653e-06,True
succinate--CoA ligase (GDP-forming) subunit beta,2.252103222471658,6.841543987472011e-06,True
ribonuclease T2,2.7054330172604897,7.0181783877938355e-06,True
ribosomal 60S subunit protein L9A,-1.9980177640671837,7.246106755792588e-06,True
Rec107p,1.3316424504304507,7.315392984259108e-06,True
malate dehydrogenase MDH2,5.26562165723406,7.591530234427122e-06,True
"3'(2'),5'-bisphosphate nucleotidase",-1.1054572598197305,7.672981324639137e-06,True
"beta-1,3-glucan linked protein",5.412440707643993,7.86858083224065e-06,True
ribosomal 40S subunit protein S7A,-1.263397693246926,7.902352616000719e-06,True
Pai3p,5.76729390279923,8.120672251739595e-06,True
carnitine O-acetyltransferase CAT2,5.269068556448561,8.583278198438497e-06,True
ribosomal 60S subunit protein L18A,-1.052545939464876,8.597006474799627e-06,True
ribosomal 60S subunit protein L21B,-1.2436725488485472,8.900802126258968e-06,True
ribosomal 60S subunit protein L11B,-1.098012667007934,8.918265890975815e-06,True
NADH-ubiquinone reductase (H(+)-translocating) NDE1,1.2738075168225915,8.994933323192719e-06,True
DNA-binding transcription factor ADR1,3.596022655695791,9.045108068461602e-06,True
Fat3p,4.871106817854869,9.151948806297682e-06,True
Tes1p,3.021553177694182,9.26304296716665e-06,True
guanine deaminase,1.503171269480624,9.643832816063756e-06,True
glutathione peroxidase GPX1,4.954021627969624,9.771550997691567e-06,True
ribosomal 60S subunit protein L32,-1.1478388597789273,9.844977119472224e-06,True
tryptophan--tRNA ligase WRS1,-1.085123022523386,9.968554345244514e-06,True
protein kinase PKP2,1.6481270218482607,9.998375059327076e-06,True
ribosomal 60S subunit protein L23B,-1.4411679151517287,1.0189903153802252e-05,True
glutamate decarboxylase GAD1,3.6091950877565666,1.0220109970024193e-05,True
lipid-binding protein LSP1,2.6164966786146113,1.0759961496397222e-05,True
putative peptide hydrolase,2.296003119117831,1.0760535030345596e-05,True
ribosomal 60S subunit protein L25,-1.0491795785678342,1.0831633129884969e-05,True
hypothetical protein,1.9518445097066062,1.1378733424109797e-05,True
ribosomal 40S subunit protein S1A,-1.0304828871393852,1.173947789854703e-05,True
Fun19p,2.1195837654319405,1.1830722233114933e-05,True
ribosomal 60S subunit protein L27A,-1.5404580637652074,1.1889431504398233e-05,True
ribosomal 60S subunit protein L28,-1.0578026385415704,1.2204515213095125e-05,True
ribosomal 60S subunit protein L34A,-1.173971686530523,1.2285964819275561e-05,True
hypothetical protein,1.7325940673264784,1.2474447977127375e-05,True
translation elongation factor EF-3,4.777664293316672,1.2639692502884655e-05,True
organic acid transporter,-1.5231502518316065,1.2733548173826647e-05,True
Dan4p,1.8217223764163601,1.2770674583995746e-05,True
Och1p,1.014728874643077,1.2787720329113846e-05,True
ubiquitin-ribosomal 40S subunit protein S31 fusion protein,-1.4443491089512577,1.2893539194083315e-05,True
Fmp40p,3.4946377973414227,1.312873370175171e-05,True
CTP synthase URA7,-1.2039425229527776,1.3255120160624876e-05,True
succinate dehydrogenase flavoprotein subunit SDH1,3.113511582672972,1.3277236382985941e-05,True
Ssu1p,2.9560652089650263,1.3510274311484698e-05,True
Hsp70 family ATPase SSA1,3.0541808001842465,1.360096781471324e-05,True
histone demethylase GIS1,1.517821347592776,1.366233738397673e-05,True
ribosomal 40S subunit protein S2,-1.3464986783635844,1.4085835420086103e-05,True
carboxylic ester hydrolase,2.2557703643274225,1.4192106505370584e-05,True
Pex3p,1.1958339451783546,1.4262001493073948e-05,True
malate dehydrogenase MDH1,1.647411722089526,1.4832435377904953e-05,True
Zps1p,2.0794269056155135,1.4904845894152583e-05,True
hypothetical protein,1.1356872063591332,1.4924424857272577e-05,True
ribosomal 40S subunit protein S19B,-1.2786339409566523,1.559309054779546e-05,True
ribosomal 60S subunit protein L15A,-1.1752448668159925,1.6143510849529688e-05,True
"glucan 1,4-alpha-glucosidase",3.128250748397349,1.616843911103196e-05,True
hypothetical protein,1.1926699013256306,1.626373980914128e-05,True
Cox26p,5.698194136496594,1.6293625348702195e-05,True
"phosphatidylinositol 4,5-bisphosphate-binding protein",1.3731956139142527,1.6426068026865857e-05,True
ribosomal 60S subunit protein L21A,-1.3024825119134888,1.7248294046086303e-05,True
phosphogluconate dehydrogenase (decarboxylating) GND2,6.0895830069835775,1.761273586044443e-05,True
ribosomal 60S subunit protein L20A,-1.1933254266568163,1.7755244299064067e-05,True
Sps19p,4.634878919512381,1.824613241664134e-05,True
transketolase TKL2,5.3588445009364545,1.9037589859126394e-05,True
F1F0 ATP synthase subunit d,1.482224721140497,1.9099208775493707e-05,True
Aqy1p,3.8512082697138985,1.91202973261419e-05,True
glycerol-3-phosphate dehydrogenase,5.190052260601074,1.9484645388726787e-05,True
ribosomal 40S subunit protein S12,-1.4049555549940234,1.972535215931926e-05,True
guanine nucleotide-binding protein subunit beta,-1.161648441134016,2.0104921786833596e-05,True
glycogenin glucosyltransferase GLG1,2.2872571807430213,2.046004338341307e-05,True
serine/threonine protein kinase PSK1,1.0493035414294907,2.1068211946739512e-05,True
lipid-binding protein PIL1,1.1405009668798556,2.184884601424975e-05,True
Mms4p,1.1635040368776144,2.2099543880416286e-05,True
carboxylesterase-mitochondrial 37S ribosomal protein YmS2,1.9549020179009102,2.2128189021492708e-05,True
bifunctional alcohol dehydrogenase/S-(hydroxymethyl)glutathione dehydrogenase,1.1001563491865074,2.218459698302687e-05,True
ribosomal 60S subunit protein L34B,-1.2294378931285177,2.260901303108189e-05,True
cAMP-dependent protein kinase regulatory subunit BCY1,1.6599169545118118,2.2689385376850073e-05,True
hypothetical protein,2.7304720578935147,2.2818778827858878e-05,True
ribosomal 60S subunit protein L18B,-1.2219466477573668,2.3058748557518185e-05,True
Mdg1p,1.7575781687220884,2.305994562324375e-05,True
Atg23p,2.219236663919635,2.3206414987402797e-05,True
sulfate adenylyltransferase,-1.599710405857718,2.345570326390009e-05,True
ribosomal 40S subunit protein S20,-1.5275285865398711,2.383872156421096e-05,True
ribosomal 60S subunit protein L22A,-1.449799523527112,2.39630326342674e-05,True
putative serine/threonine protein kinase MRK1,2.2307358178571137,2.41402867675083e-05,True
ribosomal 40S subunit protein S10B,-1.008928897719029,2.4161920226471627e-05,True
protein phosphatase regulator PIG1,2.092795211690379,2.7144495547967654e-05,True
bifunctional glutathione transferase/peroxidase,3.174018503615387,2.717281532340244e-05,True
Hsp90 cochaperone STI1,1.8474655663100172,2.723454155003867e-05,True
Vab2p,1.5564020955806606,2.7235652398747627e-05,True
Pcs60p,2.2882949456900654,2.7608922348943428e-05,True
Uip4p,6.246677793227828,2.8918787590402147e-05,True
SCF ubiquitin ligase complex subunit SAF1,2.5196699221902175,2.9140775010544566e-05,True
D-serine ammonia-lyase DSD1,1.463417848202166,2.9324607751190535e-05,True
Pso2p,1.3723072349616623,2.9401245969998067e-05,True
Aim41p,2.680927587063766,2.981276178909193e-05,True
peptidylprolyl isomerase RRD2,1.1320796188607707,3.019741214055862e-05,True
Tos8p,2.5922996582046522,3.0457468759906085e-05,True
cationic amino acid transporter,1.536851324333571,3.059445596189917e-05,True
ubiquitin-binding SDF ubiquitin ligase complex subunit MET30,1.0525272112063755,3.069142970416067e-05,True
Apj1p,1.9969382640702165,3.081910313267304e-05,True
pyruvate transporter MPC1,1.7730526704898049,3.087115002058661e-05,True
Mne1p,1.112824991332758,3.0936775519366807e-05,True
putative dodecenoyl-CoA isomerase DCI1,3.1661625914477374,3.1212051134798326e-05,True
hypothetical protein,2.430752236713681,3.135267994449764e-05,True
dihydrolipoyl dehydrogenase,1.1124480447186809,3.1411927563478026e-05,True
SUN family protein NCA3,4.769879434596702,3.1687937493605096e-05,True
Mdm36p,1.2547463122579963,3.2208370910380894e-05,True
6-phosphogluconolactonase SOL4,4.797515252676625,3.298662861232357e-05,True
glycogenin glucosyltransferase GLG2,2.0968533471413293,3.561762685470071e-05,True
Stp2p,1.3364387533789666,3.599247986096836e-05,True
Etr1p,4.6190831401708214,3.6043999012808e-05,True
Ysc84p,1.3507794821097336,3.650912109477307e-05,True
"bifunctional 4-alpha-glucanotransferase/amylo-alpha-1,6-glucosidase",2.7903844274764755,3.654971239063412e-05,True
serine/threonine protein kinase KNS1,2.386971052072785,3.692311252108687e-05,True
Atg20p,1.227714871675425,3.694296560737974e-05,True
ribosomal 60S subunit protein L13A,-1.3218319584371248,3.744432829988692e-05,True
trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase,1.113487562161641,3.745086049343679e-05,True
chaperone protein HSP26,8.495118035233952,3.816873762196736e-05,True
ribosomal 40S subunit protein S11B,-1.2368018184865601,3.876032698897827e-05,True
ribosomal 60S subunit protein L36B,-1.1008126183848077,3.890353110822451e-05,True
hypothetical protein,2.160902495896626,3.991580449239547e-05,True
U5 snRNP complex subunit LIN1,1.224633591121001,3.9970431604982994e-05,True
orotate phosphoribosyltransferase URA10,2.450184354355297,3.997696962913208e-05,True
Srd1p,2.2954001051444326,4.0399973343393315e-05,True
hypothetical protein,1.4096482742934113,4.0627223707389435e-05,True
bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2,2.05547474788363,4.215220814514772e-05,True
long-chain fatty acid-CoA ligase FAA1,1.5336778211981814,4.2201187053357346e-05,True
ubiquitin-specific protease OTU1,1.0954370583435349,4.239254438485728e-05,True
succinate--CoA ligase (GDP-forming) subunit alpha,1.8760856264427206,4.2641945818975874e-05,True
dithiol glutaredoxin GRX2,2.094026338775987,4.2897351619199e-05,True
transcriptional modulator,1.718992442120677,4.312816078409774e-05,True
methylated-DNA--protein-cysteine methyltransferase,2.024780985179447,4.3508335124221055e-05,True
putative 3'-5' exonuclease,-1.0226824787869058,4.45750421938743e-05,True
Trk2p,1.0855732772923532,4.468012081491395e-05,True
histone acetyltransferase,3.0543444961390405,4.5260339191097834e-05,True
adenylosuccinate synthase,-1.3652214474099944,4.5267917990777725e-05,True
Trx3p,1.8681308699824628,4.542951950945524e-05,True
ribosomal 60S subunit protein L35B,-1.0245080078398328,4.5818031139229644e-05,True
ribosomal 60S subunit protein L1B,-1.2555033273565996,4.596842400523292e-05,True
ammonium permease MEP3,2.068233473685364,4.623437574917175e-05,True
formate dehydrogenase (NAD+),4.6755005988664475,4.66271468405805e-05,True
D-xylulose reductase XYL2,3.039933731868468,4.723073424781504e-05,True
Eis1p,1.8913575819306772,4.739922042300877e-05,True
Sdh8p,2.2913574523600433,4.7584091031942296e-05,True
proline permease PUT4,5.195903858374923,4.786272828887445e-05,True
NADHX epimerase,3.267656344415105,4.81823130938636e-05,True
F1F0 ATP synthase subunit alpha,1.2280056812972724,4.9410268752236594e-05,True
ribosomal 40S subunit protein S21A,-1.180137598190603,4.943714656580523e-05,True
Rec8p,2.8217255797605247,4.97174512509736e-05,True
hypothetical protein,1.5541667068622589,5.028236685101583e-05,True
ubiquinone biosynthesis protein COQ9,1.3475843213462095,5.038807416202221e-05,True
Sip18p,10.32805265078776,5.113184186143295e-05,True
pheromone-regulated protein PRM4,3.095432220444198,5.153649042222068e-05,True
ribosomal 60S subunit protein L31A,-1.0451103150598318,5.172802240600575e-05,True
Sip4p,3.6970095031847223,5.1900612301046475e-05,True
Sdd1p,2.67795295600371,5.1986140964621344e-05,True
ubiquitin-conjugating protein DMA2,1.2425571641792814,5.1991616389533616e-05,True
hypothetical protein,1.1745477274420186,5.211695783309252e-05,True
Fmp10p,1.583153222760152,5.270149701001015e-05,True
NADH/NAD(+) kinase,4.589384478901151,5.366888676292563e-05,True
glutamate dehydrogenase (NAD(+)),3.20953775719319,5.370086926584525e-05,True
Mrx5p,1.0261387968415967,5.421496747318791e-05,True
hypothetical protein,3.658507085147183,5.459841804568983e-05,True
Spo71p,1.1460150273992329,5.633727655082883e-05,True
alpha-glucoside permease,4.348928727377318,5.69701297027065e-05,True
protein kinase IKS1,2.226520246858481,5.706672418297493e-05,True
ribosomal 60S subunit protein L1A,-1.0545704010962496,5.72142561176841e-05,True
14-3-3 family protein BMH2,1.1237973820957734,5.828449031925115e-05,True
protein SHH4,3.273463029254838,5.8743275398067594e-05,True
Pex7p,1.3345637651240345,5.955812604977595e-05,True
Ddi1p,1.3773339953018437,5.959784960036969e-05,True
adenyl-nucleotide exchange factor SSE2,4.778131649339866,5.998972066858467e-05,True
salt homeostasis regulator,1.3774172859860379,6.03687577884381e-05,True
ubiquinol--cytochrome-c reductase subunit COR1,1.2413242292350244,6.0468548787657195e-05,True
ribosomal 60S subunit protein L42A,-1.1401811610758372,6.080346395308747e-05,True
CTP synthase URA8,1.2553323858473862,6.0803586840461066e-05,True
hypothetical protein,1.7390677123802782,6.0969072870694916e-05,True
ribosomal protein P1B,-1.010154610275837,6.14678790664376e-05,True
Mnn4p,1.0408729337407108,6.181295674683556e-05,True
H(+)-transporting V0 sector ATPase subunit a,-1.1355270501309818,6.413143113483042e-05,True
glycerol-1-phosphatase RHR2,-1.531175023152361,6.544240236536828e-05,True
cystathionine gamma-synthase,1.1532408536925063,6.580773561447563e-05,True
Bns1p,2.5490648387649277,6.734773564653306e-05,True
diacylglycerol O-acyltransferase,1.306707950894241,6.764420051117637e-05,True
acetyl-CoA hydrolase,2.5892167534993273,6.818939989223904e-05,True
O-phospho-L-serine:2-oxoglutarate transaminase,-1.2228960958188848,6.876009198120936e-05,True
type 1 protein phosphatase-activating protein SDS22,1.2104276850712559,6.894376016875885e-05,True
Azf1p,1.3179363971307851,6.963996800375117e-05,True
hypothetical protein,2.3808401862549724,6.985431634543735e-05,True
ribosomal 40S subunit protein S6B,-1.0261601964372034,7.075860419432192e-05,True
Ndl1p,1.8163512808582771,7.193130857511372e-05,True
Dic1p,1.5690521827466135,7.224985177306626e-05,True
cystathionine beta-lyase STR3,1.2545585604552638,7.226847479166785e-05,True
Qdr3p,1.0559980958429156,7.344465834042193e-05,True
ribosomal 60S subunit protein L2B,-1.278973442307695,7.397214978513077e-05,True
carnitine O-acetyltransferase YAT2,3.5538679729406875,7.448273481729777e-05,True
hypothetical protein,1.4427974714574323,7.509409912617916e-05,True
thioredoxin-disulfide reductase TRR2,1.9598114831711175,7.693521996118302e-05,True
putative serine/threonine protein kinase ENV7,1.3449518612122406,7.838493701006215e-05,True
hexokinase 2,-1.290831128747639,7.872961613660411e-05,True
mitochondrial 37S ribosomal protein YMR31,2.112490366506024,7.939980168341733e-05,True
mitophagy protein ATG32,1.9334767948007707,8.019581491826042e-05,True
glucose-induced degradation complex subunit VID28,1.5350629733677672,8.277374345164914e-05,True
septin SPR28,2.4077255515472995,8.358054469194038e-05,True
"alpha,alpha-trehalase NTH1",1.8891951375565048,8.38993003480391e-05,True
NADH-ubiquinone reductase (H(+)-translocating) NDE2,5.52058123509763,8.600012608679784e-05,True
ubiquinol--cytochrome-c reductase subunit 10,1.5404682632622873,8.789973562568987e-05,True
Ubx3p,1.3350063560634027,8.967264032784845e-05,True
putative DEAD-box ATP-dependent RNA helicase DBP1,2.8047390941011594,8.998283459101904e-05,True
Cox20p,1.8359549257272212,9.027865899783389e-05,True
hypothetical protein,-1.4044015006770039,9.109343360409382e-05,True
Hbt1p,3.872049477815029,9.164468816376076e-05,True
Ist1p,1.2405848419556023,9.173862856658586e-05,True
ribosomal 60S subunit protein L37A,-1.0293043140824096,9.188053897120027e-05,True
ribonuclease P/MRP protein subunit POP6,1.1099670323457174,9.218723253530623e-05,True
ribosomal 40S subunit protein S26B,-1.7578508766568213,9.271026794043886e-05,True
hydroxyacylglutathione hydrolase GLO4,2.5102798152482677,9.452836735960653e-05,True
Tfs1p,3.414951875224774,9.509926197819712e-05,True
phosphoglycerate dehydrogenase SER33,-1.676909850356414,9.533324176143669e-05,True
ubiquitin-protein ligase peroxin 2,1.4760890057712848,9.537009348348574e-05,True
serine/threonine protein kinase PRR2,4.194753367550676,9.616825290717428e-05,True
hypothetical protein,2.0022421000792816,9.64547238072313e-05,True
thioredoxin peroxidase PRX1,2.9468018667823124,9.753692663048169e-05,True
carboxypeptidase C,1.6669290503099283,9.75813802561342e-05,True
cAMP-dependent protein kinase catalytic subunit TPK2,1.930450783312546,9.839361893570526e-05,True
hypothetical protein,-1.070568199756229,0.00010077166085407155,True
ribosomal 40S subunit protein S26A,-1.0211253886332887,0.0001013186207787601,True
hypothetical protein,2.993522841567686,0.00010176580446544986,True
Gpb2p,1.0418414779152219,0.00010450130973282994,True
Atg22p,1.4288176266539239,0.00010510571256283325,True
tetrafunctional fatty acid synthase subunit FAS1,1.6443273222691657,0.00010524049234870932,True
ribosomal 40S subunit protein S9B,-1.425009551671259,0.00010594055372044653,True
hypothetical protein,2.8125209305444385,0.00010732690643592542,True
phosphopantothenate--cysteine ligase CAB2,1.0125948003352168,0.00010790643828297898,True
Jen1p,8.733434944845829,0.00011007044698995851,True
ribonucleotide-diphosphate reductase subunit RNR2,1.9055432425027208,0.00011017880544109965,True
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,-1.5875361236224865,0.00011045512006962574,True
Nca2p,1.7590254344014253,0.00011054116007354609,True
lysophosphatidic acid acyltransferase ICT1,1.321350239518992,0.00011065165705014668,True
Ecl1p,2.4372507225859437,0.00011316433260979103,True
Ctf19p,1.4882905788909953,0.00011538533920972833,True
serine/threonine protein kinase RIM11,1.3662306219925897,0.00011617806915353165,True
Aha1p,1.2487448106202494,0.00011720884812237259,True
ribosomal 60S subunit protein L26A,-1.0206483188309825,0.00011747292462449244,True
adenylosuccinase ADE13,-1.5700362205982703,0.00011780237993284466,True
"alpha,alpha-trehalase ATH1",3.0355735402785538,0.00011836185484760965,True
Yro2p,5.533119935730371,0.00011883562404819343,True
sterol esterase,-1.007499657615913,0.00011993894507140544,True
delta(24(24(1)))-sterol reductase,-1.0723660216923099,0.00012200021260229682,True
glucose-induced degradation complex subunit FYV10,2.201514212038988,0.0001233499135732167,True
Ast2p,1.7578994608703171,0.00012358848963703436,True
Thi73p,1.6699819111689629,0.00012512189578906162,True
Rup1p,1.006092541720184,0.00012622323441130494,True
Rev3p,1.197767961369789,0.00012701130450613242,True
hypothetical protein,2.827132022780168,0.0001270118489244892,True
Shc1p,3.619699782018408,0.00012723118443437763,True
Mag1p,1.1888825737065716,0.0001273296037166114,True
Irc18p,2.8770802810178524,0.00012786778282319964,True
Ran GTPase GSP2,3.051442065764154,0.00012898096726242895,True
hypothetical protein,2.713582770726912,0.00013091182397567328,True
